id,name_ja,file,tiles_w,tiles_h,width_px,height_px
kindergarten_building,幼稚園,sprites/kindergarten_building.png,3,2,192,128
elementary_school_building,小学校,sprites/elementary_school_building.png,4,4,256,256
middle_school_building,中学校,sprites/middle_school_building.png,5,5,320,320
high_school_building,高校,sprites/high_school_building.png,6,6,384,384
vocational_school_building,専門学校,sprites/vocational_school_building.png,4,3,256,192
university_building,大学,sprites/university_building.png,7,7,448,448
village_office,役場(村役場),sprites/village_office.png,2,2,128,128
prefectural_office,役所(県庁),sprites/prefectural_office.png,5,5,320,320
metropolitan_government_office,都庁,sprites/metropolitan_government_office.png,7,7,448,448
amusement_park_building,遊園地,sprites/amusement_park_building.png,7,7,448,448
aquarium_building,水族館,sprites/aquarium_building.png,3,3,192,192
zoo_building,動物園,sprites/zoo_building.png,6,6,384,384
small_park_building,公園(小),sprites/small_park_building.png,1,1,64,64
large_park_building,公園(大),sprites/large_park_building.png,2,2,128,128
game_center,ゲームセンター,sprites/game_center.png,1,1,64,64
pachinko_parlor,パチンコ屋,sprites/pachinko_parlor.png,2,2,128,128
bathhouse,銭湯,sprites/bathhouse.png,2,2,128,128
family_restaurant,ファミリーレストラン,sprites/family_restaurant.png,2,2,128,128
family_restaurant_a,ファミリーレストランA,sprites/family_restaurant_a.png,2,2,128,128
family_restaurant_b,ファミリーレストランB,sprites/family_restaurant_b.png,2,2,128,128
restaurant,レストラン,sprites/restaurant.png,2,1,128,64
fast_food_a,ファーストフードA,sprites/fast_food_a.png,1,1,64,64
fast_food_b,ファーストフードB,sprites/fast_food_b.png,1,1,64,64
soba_shop,そば屋,sprites/soba_shop.png,1,1,64,64
ramen_shop,ラーメン屋,sprites/ramen_shop.png,1,1,64,64
izakaya_a,飲み屋A,sprites/izakaya_a.png,1,1,64,64
izakaya_b,飲み屋B,sprites/izakaya_b.png,1,1,64,64
izakaya_c,飲み屋C,sprites/izakaya_c.png,1,1,64,64
toy_store,おもちゃ屋,sprites/toy_store.png,1,1,64,64
clothing_store,洋品店,sprites/clothing_store.png,1,1,64,64
electronics_store,電気屋,sprites/electronics_store.png,1,1,64,64
bookstore,本屋,sprites/bookstore.png,1,1,64,64
house_small_a,住宅(小A),sprites/house_small_a.png,1,1,64,64
house_small_b,住宅(小B),sprites/house_small_b.png,1,1,64,64
house_small_c,住宅(小C),sprites/house_small_c.png,1,1,64,64
house_small_d,住宅(小D),sprites/house_small_d.png,1,2,64,128
house_medium_a,住宅(中A),sprites/house_medium_a.png,2,2,128,128
house_medium_b,住宅(中B),sprites/house_medium_b.png,2,2,128,128
house_large_c,住宅(大C),sprites/house_large_c.png,3,2,192,128
company_small_a,会社(小A),sprites/company_small_a.png,2,2,128,128
company_small_b,会社(小B),sprites/company_small_b.png,2,2,128,128
company_small_c,会社(小C),sprites/company_small_c.png,2,2,128,128
company_large_a,会社(大A),sprites/company_large_a.png,3,3,192,192
company_large_b,会社(大B),sprites/company_large_b.png,3,3,192,192
police_box_building,交番,sprites/police_box_building.png,2,2,128,128
fire_station_building,消防署,sprites/fire_station_building.png,3,2,192,128
gym_building,体育館,sprites/gym_building.png,3,3,192,192
athletic_field_building,運動場,sprites/athletic_field_building.png,5,4,320,256
pool_building,プール,sprites/pool_building.png,3,2,192,128
event_hall_building,イベント会場,sprites/event_hall_building.png,2,2,128,128
station_small,駅(小),sprites/station_small.png,2,1,128,64
station_large,駅(大),sprites/station_large.png,4,2,256,128
