id,name_ja,category,file,native_file,source,source_row,source_column,crop_xyxy,native_size,width_px,height_px,preview_grid_cells,original_footprint_known,anchor,alpha,resampling,scale_xy,style_group,connections_verified,seamless_verified,sha256,native_sha256
map_dirt_sparse,土地・まばらな草,land,terrain/tiles_64/map_dirt_sparse.png,terrain/source_crops/map_dirt_sparse.png,01-1000263623.png,1,1,"[80, 56, 281, 249]","[201, 193]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.3316062176165803]",core,False,False,5782a44cb999d59ccd1e22313bd662faf271b0fad77e4eee47060676e2a9dd81,77ec57433c9da86a46ae1930a55f0a99259c2fe3ebe652092a456af967e3a44c
map_dirt_stones,土地・小石,land,terrain/tiles_64/map_dirt_stones.png,terrain/source_crops/map_dirt_stones.png,01-1000263623.png,1,4,"[961, 56, 1162, 249]","[201, 193]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.3316062176165803]",core,False,False,8424df71a0645ff7a022ad2f99bc6ec929b5f61e71f4b663f20814bd5bf8427e,64651d137c317a9200dc6cc21ccd1f19f285326d9a5bdd456c1da3737af046f3
map_dirt_weeds,土地・雑草,land,terrain/tiles_64/map_dirt_weeds.png,terrain/source_crops/map_dirt_weeds.png,01-1000263623.png,1,2,"[373, 56, 574, 249]","[201, 193]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.3316062176165803]",core,False,False,d3f6e7cde861f068eaeb7bda59d05fa0d3240427e57436c967b7ae3c876e2e39,e92499499e6123f2c9331ae6c8a862c8f6c853b233d827d1fb37c39fcefb95a6
map_forest_clearing,森林・空き地,land,terrain/tiles_64/map_forest_clearing.png,terrain/source_crops/map_forest_clearing.png,01-1000263623.png,5,2,"[372, 906, 574, 1098]","[202, 192]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31683168316831684, 0.3333333333333333]",core,False,False,578e0f2b759d6ee0b560e2b95a6805df9b1862bdf24de37e2942c1ebbbaa6ca4,975f51f00c5ba132d25c317891ff5b454f0b87220e6ac32feef377fc1f8c3a44
map_forest_dense,森林・密集,land,terrain/tiles_64/map_forest_dense.png,terrain/source_crops/map_forest_dense.png,01-1000263623.png,5,1,"[80, 906, 281, 1098]","[201, 192]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.3333333333333333]",core,False,False,36e598cf93d69a1fd7968317c16a4077be5bf79fb3ff6626e449fc52e5411035,a581f686851615207b5cf50efbf8cbd03a4984fd8e873e4c86fc33f7716dab26
map_grass_dirt,草地・土の露出,land,terrain/tiles_64/map_grass_dirt.png,terrain/source_crops/map_grass_dirt.png,01-1000263623.png,2,5,"[1255, 271, 1457, 463]","[202, 192]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31683168316831684, 0.3333333333333333]",core,False,False,cae16939a49c0cca0f6908be892f3dba74af59e4b3cd73a1db477f39252d548e,198618f7689f23fbf66bde20820eeee2ab45904875695b14e1c37196b49d327e
map_grass_flowers,草地・黄色い花,land,terrain/tiles_64/map_grass_flowers.png,terrain/source_crops/map_grass_flowers.png,01-1000263623.png,2,3,"[668, 271, 868, 463]","[200, 192]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.32, 0.3333333333333333]",core,False,False,2191b747dd51bde5cc7f754ff80d3fdd7b23f84c5f25f7733fc9846347446934,6c768c9c70dfe2b21d85c47ba02ace2ae1c1d2ed4666903babb3f9ea4e7de5b4
map_grass_plain,草地,land,terrain/tiles_64/map_grass_plain.png,terrain/source_crops/map_grass_plain.png,01-1000263623.png,2,1,"[80, 271, 281, 463]","[201, 192]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.3333333333333333]",core,False,False,3e50c821e52978552dbd38b556829758028a94ad88e483373f64b543e8d74259,68aebb855c954946ba32a243bd90f5429f3df8de3e3c1384a75a8a1fe00ebed0
map_grass_tall,草地・背の高い草,land,terrain/tiles_64/map_grass_tall.png,terrain/source_crops/map_grass_tall.png,01-1000263623.png,2,4,"[961, 271, 1163, 463]","[202, 192]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31683168316831684, 0.3333333333333333]",core,False,False,8069ef7fb38bf0061b7c8ef395d4324973752b659544239f36e77718acac67be,f02ec90e549913d912936a20f94764e915b8030d325228c77b082f310e3a76ad
map_shrubs_dirt,低木・土の露出,land,terrain/tiles_64/map_shrubs_dirt.png,terrain/source_crops/map_shrubs_dirt.png,01-1000263623.png,3,4,"[961, 486, 1162, 673]","[201, 187]",64,64,"[1, 1]",False,top_left,opaque,nearest_to_square,"[0.31840796019900497, 0.3422459893048128]",core,False,False,0d872df190cddedbf7bd129bbd8c1ece1374cba518d5b3f93e4ff8581a15853d,c0cdf0213eaf1044a606273515fd1061e1319051547ff5d104d887b3ec405d65
