source,row,column,detected_bbox,status,asset_id,reason
01-1000263623.png,1,1,"[78, 54, 283, 251]",retained,map_dirt_sparse,core_style_representative
01-1000263623.png,1,2,"[371, 54, 576, 251]",retained,map_dirt_weeds,core_style_representative
01-1000263623.png,1,3,"[666, 54, 870, 251]",excluded,,near_duplicate_or_alternative: 同用途・近似構図の候補を整理し、代表を採用
01-1000263623.png,1,4,"[959, 54, 1164, 251]",retained,map_dirt_stones,core_style_representative
01-1000263623.png,1,5,"[1253, 54, 1459, 251]",excluded,,near_duplicate_or_alternative: 同用途・近似構図の候補を整理し、代表を採用
01-1000263623.png,2,1,"[78, 269, 283, 465]",retained,map_grass_plain,core_style_representative
01-1000263623.png,2,2,"[370, 269, 576, 465]",excluded,,near_duplicate_or_alternative: 同用途・近似構図の候補を整理し、代表を採用
01-1000263623.png,2,3,"[666, 269, 870, 465]",retained,map_grass_flowers,core_style_representative
01-1000263623.png,2,4,"[959, 269, 1165, 465]",retained,map_grass_tall,core_style_representative
01-1000263623.png,2,5,"[1253, 269, 1459, 465]",retained,map_grass_dirt,core_style_representative
01-1000263623.png,3,1,"[78, 484, 283, 675]",retained,map_shrubs_sparse,core_style_representative
01-1000263623.png,3,2,"[370, 484, 576, 675]",retained,map_shrubs_large,core_style_representative
01-1000263623.png,3,3,"[665, 484, 870, 675]",retained,map_shrubs_flowers,core_style_representative
01-1000263623.png,3,4,"[959, 484, 1164, 675]",retained,map_shrubs_dirt,core_style_representative
01-1000263623.png,3,5,"[1253, 484, 1459, 675]",excluded,,near_duplicate_or_alternative: 同用途・近似構図の候補を整理し、代表を採用
01-1000263623.png,4,1,"[78, 693, 283, 888]",retained,map_trees_sparse,core_style_representative
01-1000263623.png,4,2,"[370, 693, 576, 888]",retained,map_trees_clearing,core_style_representative
01-1000263623.png,4,3,"[665, 693, 870, 887]",excluded,,near_duplicate_or_alternative: 同用途・近似構図の候補を整理し、代表を採用
