fixture_id,name_jp,variant,grid_vertical,grid_horizontal,asset_png,logical_png,width_px,height_px,view,blank_interior,original_exact_match
fixture_001,常温棚,1x1,1,1,sprites/empty/fixture_001.png,sprites/empty/fixture_001_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_002,常温棚,1x2,1,2,sprites/empty/fixture_002.png,sprites/empty/fixture_002_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_003,常温棚,1x3,1,3,sprites/empty/fixture_003.png,sprites/empty/fixture_003_logical24.png,144,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_004,常温ワゴン,1x1,1,1,sprites/empty/fixture_004.png,sprites/empty/fixture_004_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_005,常温ワゴン,1x2,1,2,sprites/empty/fixture_005.png,sprites/empty/fixture_005_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_006,常温ワゴン,1x3,1,3,sprites/empty/fixture_006.png,sprites/empty/fixture_006_logical24.png,144,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_007,常温ワゴン,2x2,2,2,sprites/empty/fixture_007.png,sprites/empty/fixture_007_logical24.png,96,96,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_008,冷蔵棚,1x1,1,1,sprites/empty/fixture_008.png,sprites/empty/fixture_008_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_009,冷蔵棚,1x2,1,2,sprites/empty/fixture_009.png,sprites/empty/fixture_009_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_010,冷蔵棚,1x3,1,3,sprites/empty/fixture_010.png,sprites/empty/fixture_010_logical24.png,144,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_011,冷蔵ワゴン,1x1,1,1,sprites/empty/fixture_011.png,sprites/empty/fixture_011_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_012,冷蔵ワゴン,1x2,1,2,sprites/empty/fixture_012.png,sprites/empty/fixture_012_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_013,冷蔵ワゴン,1x3,1,3,sprites/empty/fixture_013.png,sprites/empty/fixture_013_logical24.png,144,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_014,冷蔵ワゴン,2x2,2,2,sprites/empty/fixture_014.png,sprites/empty/fixture_014_logical24.png,96,96,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_015,冷凍棚,1x1,1,1,sprites/empty/fixture_015.png,sprites/empty/fixture_015_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_016,冷凍棚,1x2,1,2,sprites/empty/fixture_016.png,sprites/empty/fixture_016_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_017,冷凍ワゴン,1x1,1,1,sprites/empty/fixture_017.png,sprites/empty/fixture_017_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_018,冷凍ワゴン,1x2,1,2,sprites/empty/fixture_018.png,sprites/empty/fixture_018_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_019,温ジュース,1x1,1,1,sprites/empty/fixture_019.png,sprites/empty/fixture_019_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_020,おでん,1x1,1,1,sprites/empty/fixture_020.png,sprites/empty/fixture_020_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_021,中華まん,1x1,1,1,sprites/empty/fixture_021.png,sprites/empty/fixture_021_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_022,イベントケース棚,1x2,1,2,sprites/empty/fixture_022.png,sprites/empty/fixture_022_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_023,イベントケースワゴン,1x2,1,2,sprites/empty/fixture_023.png,sprites/empty/fixture_023_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_024,たばこ自販,1x1,1,1,sprites/empty/fixture_024.png,sprites/empty/fixture_024_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_025,たばこ自販,1x2,1,2,sprites/empty/fixture_025.png,sprites/empty/fixture_025_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_026,飲料自販・冷蔵,1x1,1,1,sprites/empty/fixture_026.png,sprites/empty/fixture_026_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_027,飲料自販・冷蔵,1x2,1,2,sprites/empty/fixture_027.png,sprites/empty/fixture_027_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_028,飲料自販・温冷,1x1,1,1,sprites/empty/fixture_028.png,sprites/empty/fixture_028_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_029,飲料自販・温冷,1x2,1,2,sprites/empty/fixture_029.png,sprites/empty/fixture_029_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_030,コピー機,1x1,1,1,sprites/empty/fixture_030.png,sprites/empty/fixture_030_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_031,コピー機,1x2,1,2,sprites/empty/fixture_031.png,sprites/empty/fixture_031_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_032,レジ,1x2_typeA,1,2,sprites/empty/fixture_032.png,sprites/empty/fixture_032_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_033,レジ,1x2_typeB,1,2,sprites/empty/fixture_033.png,sprites/empty/fixture_033_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_034,レジ,1x3_typeA,1,3,sprites/empty/fixture_034.png,sprites/empty/fixture_034_logical24.png,144,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_035,レジ,1x3_typeB,1,3,sprites/empty/fixture_035.png,sprites/empty/fixture_035_logical24.png,144,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_036,キャッシュディスペンサー,1x1_indoor,1,1,sprites/empty/fixture_036.png,sprites/empty/fixture_036_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_037,キャッシュディスペンサー,1x1_outdoor,1,1,sprites/empty/fixture_037.png,sprites/empty/fixture_037_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_038,観葉植物,1x1,1,1,sprites/empty/fixture_038.png,sprites/empty/fixture_038_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_039,ベンチ,1x1,1,1,sprites/empty/fixture_039.png,sprites/empty/fixture_039_logical24.png,48,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_040,噴水,2x2,2,2,sprites/empty/fixture_040.png,sprites/empty/fixture_040_logical24.png,96,96,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_041,職員休憩室,2x2_type1,2,2,sprites/empty/fixture_041.png,sprites/empty/fixture_041_logical24.png,96,96,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_042,職員休憩室,2x2_type2,2,2,sprites/empty/fixture_042.png,sprites/empty/fixture_042_logical24.png,96,96,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_043,駐車場,1x2,1,2,sprites/empty/fixture_043.png,sprites/empty/fixture_043_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_044,2階建駐車場,1x2,1,2,sprites/empty/fixture_044.png,sprites/empty/fixture_044_logical24.png,96,48,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
fixture_045,タワー駐車場,2x3,2,3,sprites/empty/fixture_045.png,sprites/empty/fixture_045_logical24.png,144,96,90deg_vertical_top_down_orthographic,inferred_no_source_blank_shelf_frame,not_claimed
