category_id,name_ja,sheet_group,stock_levels,base_unit,notes
cold_drink,冷たい飲料,冷蔵・生鮮系,多/中/少,1x1,冷蔵棚・冷蔵ワゴン向け
hot_drink,温かい飲料,冷凍・保温系,多/中/少,1x1,温ジュース向け
alcohol,酒類,冷蔵・生鮮系,多/中/少,1x1,冷蔵棚向け
bento,弁当類,冷蔵・生鮮系,多/中/少,1x1,弁当・おにぎり系
bread,パン類,常温・サービス系,多/中/少,1x1,袋入りパンとして表現
instant_food,インスタント類,常温・サービス系,多/中/少,1x1,カップ麺中心
snacks,菓子類,常温・サービス系,多/中/少,1x1,袋菓子中心
books,本類,常温・サービス系,多/中/少,1x1,雑誌・書籍棚向け
tobacco,たばこ,常温・サービス系,多/中/少,1x1,たばこ自販/棚向け
ice_cream,アイスクリーム,冷凍・保温系,多/中/少,1x1,冷凍向け
stationery,文房具,常温・サービス系,多/中/少,1x1,小物文具
retort_food,レトルト類,常温・サービス系,多/中/少,1x1,箱/パウチ食品
electronics,電機製品類,常温・サービス系,多/中/少,1x1,電池・小型家電
seasoning,調味料類,常温・サービス系,多/中/少,1x1,瓶/ボトル調味料
vegetables,野菜類,冷蔵・生鮮系,多/中/少,1x1,葉物・根菜
frozen_food,冷凍食品類,冷凍・保温系,多/中/少,1x1,冷凍総菜
fish,魚類,冷蔵・生鮮系,多/中/少,1x1,トレイ詰め
oden,おでん,冷凍・保温系,多/中/少,1x1,おでん鍋向け具材表現
daily_goods,日用品,常温・サービス系,多/中/少,1x1,洗剤・紙類など
parcel_delivery_form,宅急便申込書,常温・サービス系,多/中/少,1x1,紙の帳票束
medicine,薬品,常温・サービス系,多/中/少,1x1,薬箱/薬袋
underwear,下着類,常温・サービス系,多/中/少,1x1,パック下着
event_goods,イベント商品,常温・サービス系,多/中/少,1x1,季節販促物
chinese_steamed_bun,中華まん,冷凍・保温系,多/中/少,1x1,中華まん什器向け
meat,肉類,冷蔵・生鮮系,多/中/少,1x1,トレイ詰め肉類
