id,category_id,name_ja,stock_level,file,native_file,source_sheet,source_crop_xyxy,source_cell_size,frame_size_px,tile_footprint,anchor,scale_xy,background_removed,view
cold_drink_high,cold_drink,冷たい飲料,high,sprites/cold_drink_high.png,native/cold_drink_high.png,source_sheets/chilled_fresh_1x1.png,"[327, 224, 504, 385]","[177, 161]","[48, 48]","[1, 1]",top_left,"[0.23728813559322035, 0.2360248447204969]",True,preserved_source_illustration_not_certified_90deg
cold_drink_medium,cold_drink,冷たい飲料,medium,sprites/cold_drink_medium.png,native/cold_drink_medium.png,source_sheets/chilled_fresh_1x1.png,"[594, 224, 770, 385]","[176, 161]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.2360248447204969]",True,preserved_source_illustration_not_certified_90deg
cold_drink_low,cold_drink,冷たい飲料,low,sprites/cold_drink_low.png,native/cold_drink_low.png,source_sheets/chilled_fresh_1x1.png,"[866, 224, 1041, 385]","[175, 161]","[48, 48]","[1, 1]",top_left,"[0.24, 0.2422360248447205]",True,preserved_source_illustration_not_certified_90deg
hot_drink_high,hot_drink,温かい飲料,high,sprites/hot_drink_high.png,native/hot_drink_high.png,source_sheets/frozen_hot_1x1.png,"[301, 234, 495, 420]","[194, 186]","[48, 48]","[1, 1]",top_left,"[0.21649484536082475, 0.21505376344086022]",True,preserved_source_illustration_not_certified_90deg
hot_drink_medium,hot_drink,温かい飲料,medium,sprites/hot_drink_medium.png,native/hot_drink_medium.png,source_sheets/frozen_hot_1x1.png,"[572, 234, 767, 420]","[195, 186]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21505376344086022]",True,preserved_source_illustration_not_certified_90deg
hot_drink_low,hot_drink,温かい飲料,low,sprites/hot_drink_low.png,native/hot_drink_low.png,source_sheets/frozen_hot_1x1.png,"[857, 234, 1052, 420]","[195, 186]","[48, 48]","[1, 1]",top_left,"[0.2153846153846154, 0.21505376344086022]",True,preserved_source_illustration_not_certified_90deg
alcohol_high,alcohol,酒類,high,sprites/alcohol_high.png,native/alcohol_high.png,source_sheets/chilled_fresh_1x1.png,"[327, 411, 504, 571]","[177, 160]","[48, 48]","[1, 1]",top_left,"[0.23728813559322035, 0.2375]",True,preserved_source_illustration_not_certified_90deg
alcohol_medium,alcohol,酒類,medium,sprites/alcohol_medium.png,native/alcohol_medium.png,source_sheets/chilled_fresh_1x1.png,"[594, 411, 770, 571]","[176, 160]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.2375]",True,preserved_source_illustration_not_certified_90deg
alcohol_low,alcohol,酒類,low,sprites/alcohol_low.png,native/alcohol_low.png,source_sheets/chilled_fresh_1x1.png,"[866, 411, 1041, 571]","[175, 160]","[48, 48]","[1, 1]",top_left,"[0.24, 0.2375]",True,preserved_source_illustration_not_certified_90deg
bento_high,bento,弁当類,high,sprites/bento_high.png,native/bento_high.png,source_sheets/chilled_fresh_1x1.png,"[327, 595, 503, 755]","[176, 160]","[48, 48]","[1, 1]",top_left,"[0.23863636363636365, 0.2375]",True,preserved_source_illustration_not_certified_90deg
