id,name_ja,direction,phase,file,frame_size,anchor_px,alpha_bbox,source_sheet,source_cell_xyxy,source_row,source_column,operation,mirrored,scale_applied,motion_authenticity,edge_cleanup
staff_001,staff_001,down,A,sprites/staff_001_down_A.png,"[160, 160]","[80, 154]","[42, 71, 118, 154]",source_sheets/staff_sheet_1_of_4.png,"[313, 139, 456, 228]",1,1,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 276, 'interior_unchanged': True}"
staff_001,staff_001,down,B,sprites/staff_001_down_B.png,"[160, 160]","[80, 154]","[42, 71, 117, 154]",source_sheets/staff_sheet_1_of_4.png,"[464, 139, 605, 228]",1,2,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 242, 'interior_unchanged': True}"
staff_001,staff_001,left,A,sprites/staff_001_left_A.png,"[160, 160]","[80, 154]","[46, 70, 115, 154]",source_sheets/staff_sheet_1_of_4.png,"[613, 139, 750, 228]",1,3,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 290, 'interior_unchanged': True}"
staff_001,staff_001,left,B,sprites/staff_001_left_B.png,"[160, 160]","[80, 154]","[46, 70, 115, 154]",source_sheets/staff_sheet_1_of_4.png,"[1046, 139, 1180, 228]",1,6,crop_background_remove_and_mirror,True,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 264, 'interior_unchanged': True}"
staff_001,staff_001,right,A,sprites/staff_001_right_A.png,"[160, 160]","[80, 154]","[46, 68, 114, 154]",source_sheets/staff_sheet_1_of_4.png,"[903, 139, 1038, 228]",1,5,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 273, 'interior_unchanged': True}"
staff_001,staff_001,right,B,sprites/staff_001_right_B.png,"[160, 160]","[80, 154]","[46, 70, 115, 154]",source_sheets/staff_sheet_1_of_4.png,"[1046, 139, 1180, 228]",1,6,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 264, 'interior_unchanged': True}"
staff_001,staff_001,up,A,sprites/staff_001_up_A.png,"[160, 160]","[80, 154]","[46, 68, 115, 154]",source_sheets/staff_sheet_1_of_4.png,"[1188, 139, 1322, 228]",1,7,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 279, 'interior_unchanged': True}"
staff_001,staff_001,up,B,sprites/staff_001_up_B.png,"[160, 160]","[80, 154]","[46, 68, 114, 154]",source_sheets/staff_sheet_1_of_4.png,"[1330, 139, 1459, 228]",1,8,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 296, 'interior_unchanged': True}"
staff_002,staff_002,down,A,sprites/staff_002_down_A.png,"[160, 160]","[80, 154]","[45, 71, 117, 154]",source_sheets/staff_sheet_1_of_4.png,"[313, 236, 456, 324]",2,1,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 261, 'interior_unchanged': True}"
staff_002,staff_002,down,B,sprites/staff_002_down_B.png,"[160, 160]","[80, 154]","[46, 70, 115, 154]",source_sheets/staff_sheet_1_of_4.png,"[464, 236, 605, 324]",2,2,crop_background_remove,False,False,not_original_game_verified,"{'method': 'one_pixel_white_matte_removal', 'removed_pixels': 238, 'interior_unchanged': True}"
