asset_id,avatar_file,data_reference_file,source_pdf,source_pdf_page,source_printed_page,source_side,source_row_top_to_bottom,source_card_crop_render3_xyxy,portrait_crop_render3_xyxy,restored_from_provided_pdf
staff_001,portraits/staff_001.png,source_cards/staff_001_data.jpg,downloadfile(1).PDF,27,127,right,1,"[1359, 84, 2415, 393]","[1398, 180, 1584, 366]",True
staff_002,portraits/staff_002.png,source_cards/staff_002_data.jpg,downloadfile(1).PDF,27,127,right,2,"[1356, 408, 2412, 717]","[1395, 504, 1581, 690]",True
staff_003,portraits/staff_003.png,source_cards/staff_003_data.jpg,downloadfile(1).PDF,27,127,right,3,"[1356, 732, 2412, 1044]","[1395, 828, 1581, 1014]",True
staff_004,portraits/staff_004.png,source_cards/staff_004_data.jpg,downloadfile(1).PDF,27,127,right,4,"[1356, 1059, 2412, 1368]","[1395, 1155, 1581, 1341]",True
staff_005,portraits/staff_005.png,source_cards/staff_005_data.jpg,downloadfile(1).PDF,27,127,right,5,"[1356, 1380, 2412, 1692]","[1395, 1476, 1581, 1662]",True
staff_006,portraits/staff_006.png,source_cards/staff_006_data.jpg,downloadfile(1).PDF,28,128,left,1,"[150, 87, 1206, 402]","[189, 183, 375, 369]",True
staff_007,portraits/staff_007.png,source_cards/staff_007_data.jpg,downloadfile(1).PDF,28,128,left,2,"[141, 411, 1197, 726]","[180, 507, 366, 693]",True
staff_008,portraits/staff_008.png,source_cards/staff_008_data.jpg,downloadfile(1).PDF,28,128,left,3,"[144, 735, 1203, 1050]","[183, 831, 369, 1017]",True
staff_009,portraits/staff_009.png,source_cards/staff_009_data.jpg,downloadfile(1).PDF,28,128,left,4,"[144, 1062, 1200, 1377]","[183, 1158, 369, 1344]",True
staff_010,portraits/staff_010.png,source_cards/staff_010_data.jpg,downloadfile(1).PDF,28,128,left,5,"[141, 1386, 1197, 1701]","[180, 1482, 366, 1668]",True
staff_011,portraits/staff_011.png,source_cards/staff_011_data.jpg,downloadfile(1).PDF,28,129,right,1,"[1344, 90, 2400, 402]","[1383, 186, 1569, 372]",True
staff_012,portraits/staff_012.png,source_cards/staff_012_data.jpg,downloadfile(1).PDF,28,129,right,2,"[1341, 414, 2397, 726]","[1380, 510, 1566, 696]",True
staff_013,portraits/staff_013.png,source_cards/staff_013_data.jpg,downloadfile(1).PDF,28,129,right,3,"[1341, 741, 2397, 1050]","[1380, 837, 1566, 1023]",True
staff_014,portraits/staff_014.png,source_cards/staff_014_data.jpg,downloadfile(1).PDF,28,129,right,4,"[1341, 1065, 2397, 1377]","[1380, 1161, 1566, 1347]",True
staff_015,portraits/staff_015.png,source_cards/staff_015_data.jpg,downloadfile(1).PDF,28,129,right,5,"[1338, 1389, 2394, 1701]","[1377, 1485, 1563, 1671]",True
staff_016,portraits/staff_016.png,source_cards/staff_016_data.jpg,downloadfile(1).PDF,29,130,left,1,"[165, 87, 1221, 405]","[204, 183, 390, 369]",True
staff_017,portraits/staff_017.png,source_cards/staff_017_data.jpg,downloadfile(1).PDF,29,130,left,2,"[162, 411, 1218, 729]","[201, 507, 387, 693]",True
staff_018,portraits/staff_018.png,source_cards/staff_018_data.jpg,downloadfile(1).PDF,29,130,left,3,"[159, 738, 1215, 1053]","[198, 834, 384, 1020]",True
staff_019,portraits/staff_019.png,source_cards/staff_019_data.jpg,downloadfile(1).PDF,29,130,left,4,"[156, 1062, 1212, 1380]","[195, 1158, 381, 1344]",True
staff_020,portraits/staff_020.png,source_cards/staff_020_data.jpg,downloadfile(1).PDF,29,130,left,5,"[153, 1386, 1209, 1704]","[192, 1482, 378, 1668]",True
staff_021,portraits/staff_021.png,source_cards/staff_021_data.jpg,downloadfile(1).PDF,29,131,right,1,"[1359, 99, 2418, 417]","[1398, 195, 1584, 381]",True
staff_022,portraits/staff_022.png,source_cards/staff_022_data.jpg,downloadfile(1).PDF,29,131,right,2,"[1356, 423, 2415, 741]","[1395, 519, 1581, 705]",True
staff_023,portraits/staff_023.png,source_cards/staff_023_data.jpg,downloadfile(1).PDF,29,131,right,3,"[1353, 750, 2412, 1065]","[1392, 846, 1578, 1032]",True
staff_024,portraits/staff_024.png,source_cards/staff_024_data.jpg,downloadfile(1).PDF,29,131,right,4,"[1350, 1074, 2409, 1389]","[1389, 1170, 1575, 1356]",True
staff_025,portraits/staff_025.png,source_cards/staff_025_data.jpg,downloadfile(1).PDF,29,131,right,5,"[1347, 1398, 2406, 1713]","[1386, 1494, 1572, 1680]",True
staff_026,portraits/staff_026.png,source_cards/staff_026_data.jpg,downloadfile(1).PDF,30,132,left,1,"[126, 93, 1179, 408]","[165, 189, 351, 375]",True
staff_027,portraits/staff_027.png,source_cards/staff_027_data.jpg,downloadfile(1).PDF,30,132,left,2,"[123, 417, 1179, 732]","[162, 513, 348, 699]",True
staff_028,portraits/staff_028.png,source_cards/staff_028_data.jpg,downloadfile(1).PDF,30,132,left,3,"[120, 744, 1176, 1059]","[159, 840, 345, 1026]",True
staff_029,portraits/staff_029.png,source_cards/staff_029_data.jpg,downloadfile(1).PDF,30,132,left,4,"[117, 1068, 1173, 1383]","[156, 1164, 342, 1350]",True
staff_030,portraits/staff_030.png,source_cards/staff_030_data.jpg,downloadfile(1).PDF,30,132,left,5,"[114, 1392, 1173, 1707]","[153, 1488, 339, 1674]",True
staff_031,portraits/staff_031.png,source_cards/staff_031_data.jpg,downloadfile(1).PDF,30,133,right,1,"[1326, 108, 2382, 420]","[1365, 204, 1551, 390]",True
