asset_id,avatar_file,data_reference_file,source_pdf,source_pdf_page,source_printed_page,source_side,source_row_top_to_bottom
staff_001,portraits/staff_001.png,source_cards/staff_001_data.jpg,downloadfile(1).PDF,27,127,right,1
staff_002,portraits/staff_002.png,source_cards/staff_002_data.jpg,downloadfile(1).PDF,27,127,right,2
staff_003,portraits/staff_003.png,source_cards/staff_003_data.jpg,downloadfile(1).PDF,27,127,right,3
staff_004,portraits/staff_004.png,source_cards/staff_004_data.jpg,downloadfile(1).PDF,27,127,right,4
staff_005,portraits/staff_005.png,source_cards/staff_005_data.jpg,downloadfile(1).PDF,27,127,right,5
staff_006,portraits/staff_006.png,source_cards/staff_006_data.jpg,downloadfile(1).PDF,28,128,left,1
staff_007,portraits/staff_007.png,source_cards/staff_007_data.jpg,downloadfile(1).PDF,28,128,left,2
staff_008,portraits/staff_008.png,source_cards/staff_008_data.jpg,downloadfile(1).PDF,28,128,left,3
staff_009,portraits/staff_009.png,source_cards/staff_009_data.jpg,downloadfile(1).PDF,28,128,left,4
staff_010,portraits/staff_010.png,source_cards/staff_010_data.jpg,downloadfile(1).PDF,28,128,left,5
staff_011,portraits/staff_011.png,source_cards/staff_011_data.jpg,downloadfile(1).PDF,28,129,right,1
staff_012,portraits/staff_012.png,source_cards/staff_012_data.jpg,downloadfile(1).PDF,28,129,right,2
staff_013,portraits/staff_013.png,source_cards/staff_013_data.jpg,downloadfile(1).PDF,28,129,right,3
staff_014,portraits/staff_014.png,source_cards/staff_014_data.jpg,downloadfile(1).PDF,28,129,right,4
staff_015,portraits/staff_015.png,source_cards/staff_015_data.jpg,downloadfile(1).PDF,28,129,right,5
staff_016,portraits/staff_016.png,source_cards/staff_016_data.jpg,downloadfile(1).PDF,29,130,left,1
staff_017,portraits/staff_017.png,source_cards/staff_017_data.jpg,downloadfile(1).PDF,29,130,left,2
staff_018,portraits/staff_018.png,source_cards/staff_018_data.jpg,downloadfile(1).PDF,29,130,left,3
staff_019,portraits/staff_019.png,source_cards/staff_019_data.jpg,downloadfile(1).PDF,29,130,left,4
staff_020,portraits/staff_020.png,source_cards/staff_020_data.jpg,downloadfile(1).PDF,29,130,left,5
staff_021,portraits/staff_021.png,source_cards/staff_021_data.jpg,downloadfile(1).PDF,29,131,right,1
staff_022,portraits/staff_022.png,source_cards/staff_022_data.jpg,downloadfile(1).PDF,29,131,right,2
staff_023,portraits/staff_023.png,source_cards/staff_023_data.jpg,downloadfile(1).PDF,29,131,right,3
staff_024,portraits/staff_024.png,source_cards/staff_024_data.jpg,downloadfile(1).PDF,29,131,right,4
staff_025,portraits/staff_025.png,source_cards/staff_025_data.jpg,downloadfile(1).PDF,29,131,right,5
staff_026,portraits/staff_026.png,source_cards/staff_026_data.jpg,downloadfile(1).PDF,30,132,left,1
staff_027,portraits/staff_027.png,source_cards/staff_027_data.jpg,downloadfile(1).PDF,30,132,left,2
staff_028,portraits/staff_028.png,source_cards/staff_028_data.jpg,downloadfile(1).PDF,30,132,left,3
staff_029,portraits/staff_029.png,source_cards/staff_029_data.jpg,downloadfile(1).PDF,30,132,left,4
staff_030,portraits/staff_030.png,source_cards/staff_030_data.jpg,downloadfile(1).PDF,30,132,left,5
staff_031,portraits/staff_031.png,source_cards/staff_031_data.jpg,downloadfile(1).PDF,30,133,right,1
staff_032,portraits/staff_032.png,source_cards/staff_032_data.jpg,downloadfile(1).PDF,30,133,right,2
staff_033,portraits/staff_033.png,source_cards/staff_033_data.jpg,downloadfile(1).PDF,30,133,right,3
staff_034,portraits/staff_034.png,source_cards/staff_034_data.jpg,downloadfile(1).PDF,30,133,right,4
staff_035,portraits/staff_035.png,source_cards/staff_035_data.jpg,downloadfile(1).PDF,30,133,right,5
