customer_id,original_no,display_name_ja,reference_sheet
customer_01,1,女子大生,source_sheets/customer_01_07_reference.png
customer_02,2,大学生,source_sheets/customer_01_07_reference.png
customer_03,3,サラリーマン,source_sheets/customer_01_07_reference.png
customer_04,4,OL,source_sheets/customer_01_07_reference.png
customer_05,5,おじさん,source_sheets/customer_01_07_reference.png
customer_06,6,おばさん,source_sheets/customer_01_07_reference.png
customer_07,7,おじいさん,source_sheets/customer_01_07_reference.png
customer_08,8,おばあさん,source_sheets/customer_08_14_reference.png
customer_09,9,男子小学生,source_sheets/customer_08_14_reference.png
customer_10,10,女子小学生,source_sheets/customer_08_14_reference.png
customer_11,11,男子中学生,source_sheets/customer_08_14_reference.png
customer_12,12,女子中学生,source_sheets/customer_08_14_reference.png
customer_13,13,男子高校生,source_sheets/customer_08_14_reference.png
customer_14,14,女子高校生,source_sheets/customer_08_14_reference.png
customer_15,15,男子幼稚園児,source_sheets/customer_15_21_reference.png
customer_16,16,女子幼稚園児,source_sheets/customer_15_21_reference.png
customer_17,17,子供連れのおじさん,source_sheets/customer_15_21_reference.png
customer_18,18,子供連れのおばさん,source_sheets/customer_15_21_reference.png
customer_19,19,子抱きのおばさん,source_sheets/customer_15_21_reference.png
customer_20,20,車椅子の男性,source_sheets/customer_15_21_reference.png
customer_21,21,松葉杖の男性,source_sheets/customer_15_21_reference.png
