staff_id,sheet,staff_no,frame,file
staff_001,staff_sheet_1_of_4.png,1,down_A,sprites/staff_001_down_A.png
staff_001,staff_sheet_1_of_4.png,1,down_B,sprites/staff_001_down_B.png
staff_001,staff_sheet_1_of_4.png,1,left_A,sprites/staff_001_left_A.png
staff_001,staff_sheet_1_of_4.png,1,left_B,sprites/staff_001_left_B.png
staff_001,staff_sheet_1_of_4.png,1,right_A,sprites/staff_001_right_A.png
staff_001,staff_sheet_1_of_4.png,1,right_B,sprites/staff_001_right_B.png
staff_001,staff_sheet_1_of_4.png,1,up_A,sprites/staff_001_up_A.png
staff_001,staff_sheet_1_of_4.png,1,up_B,sprites/staff_001_up_B.png
staff_002,staff_sheet_1_of_4.png,2,down_A,sprites/staff_002_down_A.png
staff_002,staff_sheet_1_of_4.png,2,down_B,sprites/staff_002_down_B.png
staff_002,staff_sheet_1_of_4.png,2,left_A,sprites/staff_002_left_A.png
staff_002,staff_sheet_1_of_4.png,2,left_B,sprites/staff_002_left_B.png
staff_002,staff_sheet_1_of_4.png,2,right_A,sprites/staff_002_right_A.png
staff_002,staff_sheet_1_of_4.png,2,right_B,sprites/staff_002_right_B.png
staff_002,staff_sheet_1_of_4.png,2,up_A,sprites/staff_002_up_A.png
staff_002,staff_sheet_1_of_4.png,2,up_B,sprites/staff_002_up_B.png
staff_003,staff_sheet_1_of_4.png,3,down_A,sprites/staff_003_down_A.png
staff_003,staff_sheet_1_of_4.png,3,down_B,sprites/staff_003_down_B.png
staff_003,staff_sheet_1_of_4.png,3,left_A,sprites/staff_003_left_A.png
staff_003,staff_sheet_1_of_4.png,3,left_B,sprites/staff_003_left_B.png
staff_003,staff_sheet_1_of_4.png,3,right_A,sprites/staff_003_right_A.png
staff_003,staff_sheet_1_of_4.png,3,right_B,sprites/staff_003_right_B.png
staff_003,staff_sheet_1_of_4.png,3,up_A,sprites/staff_003_up_A.png
staff_003,staff_sheet_1_of_4.png,3,up_B,sprites/staff_003_up_B.png
staff_004,staff_sheet_1_of_4.png,4,down_A,sprites/staff_004_down_A.png
staff_004,staff_sheet_1_of_4.png,4,down_B,sprites/staff_004_down_B.png
staff_004,staff_sheet_1_of_4.png,4,left_A,sprites/staff_004_left_A.png
staff_004,staff_sheet_1_of_4.png,4,left_B,sprites/staff_004_left_B.png
staff_004,staff_sheet_1_of_4.png,4,right_A,sprites/staff_004_right_A.png
staff_004,staff_sheet_1_of_4.png,4,right_B,sprites/staff_004_right_B.png
staff_004,staff_sheet_1_of_4.png,4,up_A,sprites/staff_004_up_A.png
staff_004,staff_sheet_1_of_4.png,4,up_B,sprites/staff_004_up_B.png
staff_005,staff_sheet_1_of_4.png,5,down_A,sprites/staff_005_down_A.png
staff_005,staff_sheet_1_of_4.png,5,down_B,sprites/staff_005_down_B.png
staff_005,staff_sheet_1_of_4.png,5,left_A,sprites/staff_005_left_A.png
staff_005,staff_sheet_1_of_4.png,5,left_B,sprites/staff_005_left_B.png
staff_005,staff_sheet_1_of_4.png,5,right_A,sprites/staff_005_right_A.png
staff_005,staff_sheet_1_of_4.png,5,right_B,sprites/staff_005_right_B.png
staff_005,staff_sheet_1_of_4.png,5,up_A,sprites/staff_005_up_A.png
staff_005,staff_sheet_1_of_4.png,5,up_B,sprites/staff_005_up_B.png
staff_006,staff_sheet_1_of_4.png,6,down_A,sprites/staff_006_down_A.png
staff_006,staff_sheet_1_of_4.png,6,down_B,sprites/staff_006_down_B.png
staff_006,staff_sheet_1_of_4.png,6,left_A,sprites/staff_006_left_A.png
staff_006,staff_sheet_1_of_4.png,6,left_B,sprites/staff_006_left_B.png
staff_006,staff_sheet_1_of_4.png,6,right_A,sprites/staff_006_right_A.png
staff_006,staff_sheet_1_of_4.png,6,right_B,sprites/staff_006_right_B.png
staff_006,staff_sheet_1_of_4.png,6,up_A,sprites/staff_006_up_A.png
staff_006,staff_sheet_1_of_4.png,6,up_B,sprites/staff_006_up_B.png
staff_007,staff_sheet_1_of_4.png,7,down_A,sprites/staff_007_down_A.png
staff_007,staff_sheet_1_of_4.png,7,down_B,sprites/staff_007_down_B.png
staff_007,staff_sheet_1_of_4.png,7,left_A,sprites/staff_007_left_A.png
staff_007,staff_sheet_1_of_4.png,7,left_B,sprites/staff_007_left_B.png
staff_007,staff_sheet_1_of_4.png,7,right_A,sprites/staff_007_right_A.png
staff_007,staff_sheet_1_of_4.png,7,right_B,sprites/staff_007_right_B.png
staff_007,staff_sheet_1_of_4.png,7,up_A,sprites/staff_007_up_A.png
staff_007,staff_sheet_1_of_4.png,7,up_B,sprites/staff_007_up_B.png
staff_008,staff_sheet_1_of_4.png,8,down_A,sprites/staff_008_down_A.png
staff_008,staff_sheet_1_of_4.png,8,down_B,sprites/staff_008_down_B.png
staff_008,staff_sheet_1_of_4.png,8,left_A,sprites/staff_008_left_A.png
staff_008,staff_sheet_1_of_4.png,8,left_B,sprites/staff_008_left_B.png
staff_008,staff_sheet_1_of_4.png,8,right_A,sprites/staff_008_right_A.png
staff_008,staff_sheet_1_of_4.png,8,right_B,sprites/staff_008_right_B.png
staff_008,staff_sheet_1_of_4.png,8,up_A,sprites/staff_008_up_A.png
staff_008,staff_sheet_1_of_4.png,8,up_B,sprites/staff_008_up_B.png
staff_009,staff_sheet_1_of_4.png,9,down_A,sprites/staff_009_down_A.png
staff_009,staff_sheet_1_of_4.png,9,down_B,sprites/staff_009_down_B.png
staff_009,staff_sheet_1_of_4.png,9,left_A,sprites/staff_009_left_A.png
staff_009,staff_sheet_1_of_4.png,9,left_B,sprites/staff_009_left_B.png
staff_009,staff_sheet_1_of_4.png,9,right_A,sprites/staff_009_right_A.png
staff_009,staff_sheet_1_of_4.png,9,right_B,sprites/staff_009_right_B.png
staff_009,staff_sheet_1_of_4.png,9,up_A,sprites/staff_009_up_A.png
staff_009,staff_sheet_1_of_4.png,9,up_B,sprites/staff_009_up_B.png
staff_010,staff_sheet_2_of_4.png,10,down_A,sprites/staff_010_down_A.png
staff_010,staff_sheet_2_of_4.png,10,down_B,sprites/staff_010_down_B.png
staff_010,staff_sheet_2_of_4.png,10,left_A,sprites/staff_010_left_A.png
staff_010,staff_sheet_2_of_4.png,10,left_B,sprites/staff_010_left_B.png
staff_010,staff_sheet_2_of_4.png,10,right_A,sprites/staff_010_right_A.png
staff_010,staff_sheet_2_of_4.png,10,right_B,sprites/staff_010_right_B.png
staff_010,staff_sheet_2_of_4.png,10,up_A,sprites/staff_010_up_A.png
staff_010,staff_sheet_2_of_4.png,10,up_B,sprites/staff_010_up_B.png
staff_011,staff_sheet_2_of_4.png,11,down_A,sprites/staff_011_down_A.png
staff_011,staff_sheet_2_of_4.png,11,down_B,sprites/staff_011_down_B.png
staff_011,staff_sheet_2_of_4.png,11,left_A,sprites/staff_011_left_A.png
staff_011,staff_sheet_2_of_4.png,11,left_B,sprites/staff_011_left_B.png
staff_011,staff_sheet_2_of_4.png,11,right_A,sprites/staff_011_right_A.png
staff_011,staff_sheet_2_of_4.png,11,right_B,sprites/staff_011_right_B.png
staff_011,staff_sheet_2_of_4.png,11,up_A,sprites/staff_011_up_A.png
staff_011,staff_sheet_2_of_4.png,11,up_B,sprites/staff_011_up_B.png
staff_012,staff_sheet_2_of_4.png,12,down_A,sprites/staff_012_down_A.png
staff_012,staff_sheet_2_of_4.png,12,down_B,sprites/staff_012_down_B.png
staff_012,staff_sheet_2_of_4.png,12,left_A,sprites/staff_012_left_A.png
staff_012,staff_sheet_2_of_4.png,12,left_B,sprites/staff_012_left_B.png
staff_012,staff_sheet_2_of_4.png,12,right_A,sprites/staff_012_right_A.png
staff_012,staff_sheet_2_of_4.png,12,right_B,sprites/staff_012_right_B.png
staff_012,staff_sheet_2_of_4.png,12,up_A,sprites/staff_012_up_A.png
staff_012,staff_sheet_2_of_4.png,12,up_B,sprites/staff_012_up_B.png
staff_013,staff_sheet_2_of_4.png,13,down_A,sprites/staff_013_down_A.png
staff_013,staff_sheet_2_of_4.png,13,down_B,sprites/staff_013_down_B.png
staff_013,staff_sheet_2_of_4.png,13,left_A,sprites/staff_013_left_A.png
staff_013,staff_sheet_2_of_4.png,13,left_B,sprites/staff_013_left_B.png
staff_013,staff_sheet_2_of_4.png,13,right_A,sprites/staff_013_right_A.png
staff_013,staff_sheet_2_of_4.png,13,right_B,sprites/staff_013_right_B.png
staff_013,staff_sheet_2_of_4.png,13,up_A,sprites/staff_013_up_A.png
staff_013,staff_sheet_2_of_4.png,13,up_B,sprites/staff_013_up_B.png
staff_014,staff_sheet_2_of_4.png,14,down_A,sprites/staff_014_down_A.png
staff_014,staff_sheet_2_of_4.png,14,down_B,sprites/staff_014_down_B.png
staff_014,staff_sheet_2_of_4.png,14,left_A,sprites/staff_014_left_A.png
staff_014,staff_sheet_2_of_4.png,14,left_B,sprites/staff_014_left_B.png
staff_014,staff_sheet_2_of_4.png,14,right_A,sprites/staff_014_right_A.png
staff_014,staff_sheet_2_of_4.png,14,right_B,sprites/staff_014_right_B.png
staff_014,staff_sheet_2_of_4.png,14,up_A,sprites/staff_014_up_A.png
staff_014,staff_sheet_2_of_4.png,14,up_B,sprites/staff_014_up_B.png
staff_015,staff_sheet_2_of_4.png,15,down_A,sprites/staff_015_down_A.png
staff_015,staff_sheet_2_of_4.png,15,down_B,sprites/staff_015_down_B.png
staff_015,staff_sheet_2_of_4.png,15,left_A,sprites/staff_015_left_A.png
staff_015,staff_sheet_2_of_4.png,15,left_B,sprites/staff_015_left_B.png
staff_015,staff_sheet_2_of_4.png,15,right_A,sprites/staff_015_right_A.png
staff_015,staff_sheet_2_of_4.png,15,right_B,sprites/staff_015_right_B.png
staff_015,staff_sheet_2_of_4.png,15,up_A,sprites/staff_015_up_A.png
staff_015,staff_sheet_2_of_4.png,15,up_B,sprites/staff_015_up_B.png
staff_016,staff_sheet_2_of_4.png,16,down_A,sprites/staff_016_down_A.png
staff_016,staff_sheet_2_of_4.png,16,down_B,sprites/staff_016_down_B.png
staff_016,staff_sheet_2_of_4.png,16,left_A,sprites/staff_016_left_A.png
staff_016,staff_sheet_2_of_4.png,16,left_B,sprites/staff_016_left_B.png
staff_016,staff_sheet_2_of_4.png,16,right_A,sprites/staff_016_right_A.png
staff_016,staff_sheet_2_of_4.png,16,right_B,sprites/staff_016_right_B.png
staff_016,staff_sheet_2_of_4.png,16,up_A,sprites/staff_016_up_A.png
staff_016,staff_sheet_2_of_4.png,16,up_B,sprites/staff_016_up_B.png
staff_017,staff_sheet_2_of_4.png,17,down_A,sprites/staff_017_down_A.png
staff_017,staff_sheet_2_of_4.png,17,down_B,sprites/staff_017_down_B.png
staff_017,staff_sheet_2_of_4.png,17,left_A,sprites/staff_017_left_A.png
staff_017,staff_sheet_2_of_4.png,17,left_B,sprites/staff_017_left_B.png
staff_017,staff_sheet_2_of_4.png,17,right_A,sprites/staff_017_right_A.png
staff_017,staff_sheet_2_of_4.png,17,right_B,sprites/staff_017_right_B.png
staff_017,staff_sheet_2_of_4.png,17,up_A,sprites/staff_017_up_A.png
staff_017,staff_sheet_2_of_4.png,17,up_B,sprites/staff_017_up_B.png
staff_018,staff_sheet_2_of_4.png,18,down_A,sprites/staff_018_down_A.png
staff_018,staff_sheet_2_of_4.png,18,down_B,sprites/staff_018_down_B.png
staff_018,staff_sheet_2_of_4.png,18,left_A,sprites/staff_018_left_A.png
staff_018,staff_sheet_2_of_4.png,18,left_B,sprites/staff_018_left_B.png
staff_018,staff_sheet_2_of_4.png,18,right_A,sprites/staff_018_right_A.png
staff_018,staff_sheet_2_of_4.png,18,right_B,sprites/staff_018_right_B.png
staff_018,staff_sheet_2_of_4.png,18,up_A,sprites/staff_018_up_A.png
staff_018,staff_sheet_2_of_4.png,18,up_B,sprites/staff_018_up_B.png
staff_019,staff_sheet_3_of_4.png,19,down_A,sprites/staff_019_down_A.png
staff_019,staff_sheet_3_of_4.png,19,down_B,sprites/staff_019_down_B.png
staff_019,staff_sheet_3_of_4.png,19,left_A,sprites/staff_019_left_A.png
staff_019,staff_sheet_3_of_4.png,19,left_B,sprites/staff_019_left_B.png
staff_019,staff_sheet_3_of_4.png,19,right_A,sprites/staff_019_right_A.png
staff_019,staff_sheet_3_of_4.png,19,right_B,sprites/staff_019_right_B.png
staff_019,staff_sheet_3_of_4.png,19,up_A,sprites/staff_019_up_A.png
staff_019,staff_sheet_3_of_4.png,19,up_B,sprites/staff_019_up_B.png
staff_020,staff_sheet_3_of_4.png,20,down_A,sprites/staff_020_down_A.png
staff_020,staff_sheet_3_of_4.png,20,down_B,sprites/staff_020_down_B.png
staff_020,staff_sheet_3_of_4.png,20,left_A,sprites/staff_020_left_A.png
staff_020,staff_sheet_3_of_4.png,20,left_B,sprites/staff_020_left_B.png
staff_020,staff_sheet_3_of_4.png,20,right_A,sprites/staff_020_right_A.png
staff_020,staff_sheet_3_of_4.png,20,right_B,sprites/staff_020_right_B.png
staff_020,staff_sheet_3_of_4.png,20,up_A,sprites/staff_020_up_A.png
staff_020,staff_sheet_3_of_4.png,20,up_B,sprites/staff_020_up_B.png
staff_021,staff_sheet_3_of_4.png,21,down_A,sprites/staff_021_down_A.png
staff_021,staff_sheet_3_of_4.png,21,down_B,sprites/staff_021_down_B.png
staff_021,staff_sheet_3_of_4.png,21,left_A,sprites/staff_021_left_A.png
staff_021,staff_sheet_3_of_4.png,21,left_B,sprites/staff_021_left_B.png
staff_021,staff_sheet_3_of_4.png,21,right_A,sprites/staff_021_right_A.png
staff_021,staff_sheet_3_of_4.png,21,right_B,sprites/staff_021_right_B.png
staff_021,staff_sheet_3_of_4.png,21,up_A,sprites/staff_021_up_A.png
staff_021,staff_sheet_3_of_4.png,21,up_B,sprites/staff_021_up_B.png
staff_022,staff_sheet_3_of_4.png,22,down_A,sprites/staff_022_down_A.png
staff_022,staff_sheet_3_of_4.png,22,down_B,sprites/staff_022_down_B.png
staff_022,staff_sheet_3_of_4.png,22,left_A,sprites/staff_022_left_A.png
staff_022,staff_sheet_3_of_4.png,22,left_B,sprites/staff_022_left_B.png
staff_022,staff_sheet_3_of_4.png,22,right_A,sprites/staff_022_right_A.png
staff_022,staff_sheet_3_of_4.png,22,right_B,sprites/staff_022_right_B.png
staff_022,staff_sheet_3_of_4.png,22,up_A,sprites/staff_022_up_A.png
staff_022,staff_sheet_3_of_4.png,22,up_B,sprites/staff_022_up_B.png
staff_023,staff_sheet_3_of_4.png,23,down_A,sprites/staff_023_down_A.png
staff_023,staff_sheet_3_of_4.png,23,down_B,sprites/staff_023_down_B.png
staff_023,staff_sheet_3_of_4.png,23,left_A,sprites/staff_023_left_A.png
staff_023,staff_sheet_3_of_4.png,23,left_B,sprites/staff_023_left_B.png
staff_023,staff_sheet_3_of_4.png,23,right_A,sprites/staff_023_right_A.png
staff_023,staff_sheet_3_of_4.png,23,right_B,sprites/staff_023_right_B.png
staff_023,staff_sheet_3_of_4.png,23,up_A,sprites/staff_023_up_A.png
staff_023,staff_sheet_3_of_4.png,23,up_B,sprites/staff_023_up_B.png
staff_024,staff_sheet_3_of_4.png,24,down_A,sprites/staff_024_down_A.png
staff_024,staff_sheet_3_of_4.png,24,down_B,sprites/staff_024_down_B.png
staff_024,staff_sheet_3_of_4.png,24,left_A,sprites/staff_024_left_A.png
staff_024,staff_sheet_3_of_4.png,24,left_B,sprites/staff_024_left_B.png
staff_024,staff_sheet_3_of_4.png,24,right_A,sprites/staff_024_right_A.png
staff_024,staff_sheet_3_of_4.png,24,right_B,sprites/staff_024_right_B.png
staff_024,staff_sheet_3_of_4.png,24,up_A,sprites/staff_024_up_A.png
staff_024,staff_sheet_3_of_4.png,24,up_B,sprites/staff_024_up_B.png
staff_025,staff_sheet_3_of_4.png,25,down_A,sprites/staff_025_down_A.png
staff_025,staff_sheet_3_of_4.png,25,down_B,sprites/staff_025_down_B.png
staff_025,staff_sheet_3_of_4.png,25,left_A,sprites/staff_025_left_A.png
staff_025,staff_sheet_3_of_4.png,25,left_B,sprites/staff_025_left_B.png
staff_025,staff_sheet_3_of_4.png,25,right_A,sprites/staff_025_right_A.png
staff_025,staff_sheet_3_of_4.png,25,right_B,sprites/staff_025_right_B.png
staff_025,staff_sheet_3_of_4.png,25,up_A,sprites/staff_025_up_A.png
staff_025,staff_sheet_3_of_4.png,25,up_B,sprites/staff_025_up_B.png
staff_026,staff_sheet_3_of_4.png,26,down_A,sprites/staff_026_down_A.png
staff_026,staff_sheet_3_of_4.png,26,down_B,sprites/staff_026_down_B.png
staff_026,staff_sheet_3_of_4.png,26,left_A,sprites/staff_026_left_A.png
staff_026,staff_sheet_3_of_4.png,26,left_B,sprites/staff_026_left_B.png
staff_026,staff_sheet_3_of_4.png,26,right_A,sprites/staff_026_right_A.png
staff_026,staff_sheet_3_of_4.png,26,right_B,sprites/staff_026_right_B.png
staff_026,staff_sheet_3_of_4.png,26,up_A,sprites/staff_026_up_A.png
staff_026,staff_sheet_3_of_4.png,26,up_B,sprites/staff_026_up_B.png
staff_027,staff_sheet_3_of_4.png,27,down_A,sprites/staff_027_down_A.png
staff_027,staff_sheet_3_of_4.png,27,down_B,sprites/staff_027_down_B.png
staff_027,staff_sheet_3_of_4.png,27,left_A,sprites/staff_027_left_A.png
staff_027,staff_sheet_3_of_4.png,27,left_B,sprites/staff_027_left_B.png
staff_027,staff_sheet_3_of_4.png,27,right_A,sprites/staff_027_right_A.png
