staff_no,staff_id,sheet,row_strip,down_A,down_B,left_A,left_B,right_A,right_B,up_A,up_B
1,staff_001,staff_sheet_1_of_4.png,row_strips/staff_001_row.png,sprites/staff_001_down_A.png,sprites/staff_001_down_B.png,sprites/staff_001_left_A.png,sprites/staff_001_left_B.png,sprites/staff_001_right_A.png,sprites/staff_001_right_B.png,sprites/staff_001_up_A.png,sprites/staff_001_up_B.png
2,staff_002,staff_sheet_1_of_4.png,row_strips/staff_002_row.png,sprites/staff_002_down_A.png,sprites/staff_002_down_B.png,sprites/staff_002_left_A.png,sprites/staff_002_left_B.png,sprites/staff_002_right_A.png,sprites/staff_002_right_B.png,sprites/staff_002_up_A.png,sprites/staff_002_up_B.png
3,staff_003,staff_sheet_1_of_4.png,row_strips/staff_003_row.png,sprites/staff_003_down_A.png,sprites/staff_003_down_B.png,sprites/staff_003_left_A.png,sprites/staff_003_left_B.png,sprites/staff_003_right_A.png,sprites/staff_003_right_B.png,sprites/staff_003_up_A.png,sprites/staff_003_up_B.png
4,staff_004,staff_sheet_1_of_4.png,row_strips/staff_004_row.png,sprites/staff_004_down_A.png,sprites/staff_004_down_B.png,sprites/staff_004_left_A.png,sprites/staff_004_left_B.png,sprites/staff_004_right_A.png,sprites/staff_004_right_B.png,sprites/staff_004_up_A.png,sprites/staff_004_up_B.png
5,staff_005,staff_sheet_1_of_4.png,row_strips/staff_005_row.png,sprites/staff_005_down_A.png,sprites/staff_005_down_B.png,sprites/staff_005_left_A.png,sprites/staff_005_left_B.png,sprites/staff_005_right_A.png,sprites/staff_005_right_B.png,sprites/staff_005_up_A.png,sprites/staff_005_up_B.png
6,staff_006,staff_sheet_1_of_4.png,row_strips/staff_006_row.png,sprites/staff_006_down_A.png,sprites/staff_006_down_B.png,sprites/staff_006_left_A.png,sprites/staff_006_left_B.png,sprites/staff_006_right_A.png,sprites/staff_006_right_B.png,sprites/staff_006_up_A.png,sprites/staff_006_up_B.png
7,staff_007,staff_sheet_1_of_4.png,row_strips/staff_007_row.png,sprites/staff_007_down_A.png,sprites/staff_007_down_B.png,sprites/staff_007_left_A.png,sprites/staff_007_left_B.png,sprites/staff_007_right_A.png,sprites/staff_007_right_B.png,sprites/staff_007_up_A.png,sprites/staff_007_up_B.png
8,staff_008,staff_sheet_1_of_4.png,row_strips/staff_008_row.png,sprites/staff_008_down_A.png,sprites/staff_008_down_B.png,sprites/staff_008_left_A.png,sprites/staff_008_left_B.png,sprites/staff_008_right_A.png,sprites/staff_008_right_B.png,sprites/staff_008_up_A.png,sprites/staff_008_up_B.png
9,staff_009,staff_sheet_1_of_4.png,row_strips/staff_009_row.png,sprites/staff_009_down_A.png,sprites/staff_009_down_B.png,sprites/staff_009_left_A.png,sprites/staff_009_left_B.png,sprites/staff_009_right_A.png,sprites/staff_009_right_B.png,sprites/staff_009_up_A.png,sprites/staff_009_up_B.png
10,staff_010,staff_sheet_2_of_4.png,row_strips/staff_010_row.png,sprites/staff_010_down_A.png,sprites/staff_010_down_B.png,sprites/staff_010_left_A.png,sprites/staff_010_left_B.png,sprites/staff_010_right_A.png,sprites/staff_010_right_B.png,sprites/staff_010_up_A.png,sprites/staff_010_up_B.png
